ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,CC_ID,ESRI_OID,Shape__Area,Shape__Length
DUBLIN CITY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1433-13a3-e055-000000000001,716469.75,735272.06,128350164.36,265011,1,128350164.358276,101493.212411784
CORK CITY COUNCIL,,Corcaigh,CORK,Munster,2ae19629-1434-13a3-e055-000000000001,565833.13,571933.83,186597605.51,45511,2,186597605.507904,80293.7307849097
GALWAY CITY COUNCIL,,Gaillimh,GALWAY,Connacht,2ae19629-1435-13a3-e055-000000000001,530067.66,726500.52,50695047.2,65011,3,50695047.2026672,64020.7256281213
OFFALY COUNTY COUNCIL,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-1496-13a3-e055-000000000001,631261.72,709672.35,2000024664.09,185001,4,2000024664.10199,389927.708615339
WICKLOW COUNTY COUNCIL,,Cill Mhantáin,WICKLOW,Leinster,2ae19629-149e-13a3-e055-000000000001,707784.79,690738.1,2025160941.77,255001,5,2025160941.7796,320629.95873314
TIPPERARY COUNTY COUNCIL,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-1499-13a3-e055-000000000001,605191.54,659297.87,4303395908.87,215003,6,4303395908.87091,517791.400528051
MONAGHAN COUNTY COUNCIL,,Muineachán,MONAGHAN,Ulster,2ae19629-1495-13a3-e055-000000000001,669110.41,824170.57,1294164120.67,175001,7,1294164120.66217,300981.957734403
SLIGO COUNTY COUNCIL,,Sligeach,SLIGO,Connacht,2ae19629-1498-13a3-e055-000000000001,557897.46,827219.69,1836083206.41,205001,8,1836083206.40503,519667.175106207
WEXFORD COUNTY COUNCIL,,Loch Garman,WEXFORD,Leinster,2ae19629-149c-13a3-e055-000000000001,696261.93,634655.15,2369842342.57,245001,9,2369842342.56552,428271.229275922
SOUTH DUBLIN COUNTY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a1-13a3-e055-000000000001,706125.25,725999.51,223448221.59,265003,10,223448221.591766,93355.946420258
FINGAL COUNTY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-14a0-13a3-e055-000000000001,717228.52,750698.66,457879166.21,265002,11,457879166.211609,247881.719672962
CLARE COUNTY COUNCIL,,An Clár,CLARE,Munster,2ae19629-14a2-13a3-e055-000000000001,524790.2,680078.02,3443369712.56,35001,12,3443369712.54901,533013.394558007
DONEGAL COUNTY COUNCIL,,Dún na nGall,DONEGAL,Ulster,2ae19629-14a4-13a3-e055-000000000001,607296.31,911848.45,4856716773.99,55001,13,4856716773.87082,1860130.46287474
MEATH COUNTY COUNCIL,,An Mhí,MEATH,Leinster,2ae19629-1494-13a3-e055-000000000001,680723.14,767236.28,2342048769.25,165001,14,2342048769.255,396538.402596004
WESTMEATH COUNTY COUNCIL,,An Iarmhí,WESTMEATH,Leinster,2ae19629-149b-13a3-e055-000000000001,635445.42,756679.97,1838309833.24,235001,15,1838309833.24454,291659.802026368
MAYO COUNTY COUNCIL,,Maigh Eo,MAYO,Connacht,2ae19629-1493-13a3-e055-000000000001,504948.11,797843.38,5587525208.65,155001,16,5587525208.65015,1637391.11198585
LIMERICK CITY AND COUNTY COUNCIL,,Luimneach,LIMERICK,Munster,2ae19629-148f-13a3-e055-000000000001,548318.75,640943.05,2754925824.54,125002,17,2754925824.43915,389798.679234506
KILDARE COUNTY COUNCIL,,Cill Dara,KILDARE,Leinster,2ae19629-14a7-13a3-e055-000000000001,678993.6,712090.4,1694083232.97,85001,18,1694083232.9628,297048.497383096
KERRY COUNTY COUNCIL,,Ciarraí,KERRY,Munster,2ae19629-14a6-13a3-e055-000000000001,469696.21,600519.77,4812983980.24,75001,19,4812983980.23907,1520313.70034765
LOUTH COUNTY COUNCIL,,Lú,LOUTH,Leinster,2ae19629-1491-13a3-e055-000000000001,705050.25,796446.74,826104640.71,145001,20,826104640.934235,255564.843246062
LONGFORD COUNTY COUNCIL,,An Longfort,LONGFORD,Leinster,2ae19629-1490-13a3-e055-000000000001,619420.92,775835.13,1091077827.65,135001,21,1091077827.64883,213044.832625609
DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-149f-13a3-e055-000000000001,720713.95,724471.41,126563026.74,265001,22,126563026.738647,70787.2885513619
GALWAY COUNTY COUNCIL,,Gaillimh,GALWAY,Connacht,2ae19629-14a5-13a3-e055-000000000001,524511.96,732839.34,6100395514.54,65001,23,6100395514.53925,2129224.07487191
CARLOW COUNTY COUNCIL,,Ceatharlach,CARLOW,Leinster,2ae19629-1492-13a3-e055-000000000001,680448.23,660624.58,896306186.01,15001,24,896306186.007355,224523.973390593
CORK COUNTY COUNCIL,,Corcaigh,CORK,Munster,2ae19629-14a3-13a3-e055-000000000001,527532.69,573117.78,7316037889.79,45501,25,7316037889.84033,2042835.69598084
LEITRIM COUNTY COUNCIL,,Liatroim,LEITRIM,Connacht,2ae19629-148e-13a3-e055-000000000001,599762.02,821266.52,1588030182.98,115001,26,1588030182.98993,321776.110812732
KILKENNY COUNTY COUNCIL,,Cill Chainnigh,KILKENNY,Leinster,2ae19629-14a8-13a3-e055-000000000001,647885.56,646646.11,2071100205.46,95001,27,2071100205.45895,286687.498463786
LAOIS COUNTY COUNCIL,,Laois,LAOIS,Leinster,2ae19629-148d-13a3-e055-000000000001,644908.26,694308.36,1719127150.11,105001,28,1719127150.11148,276737.958793194
ROSCOMMON COUNTY COUNCIL,,Ros Comáin,ROSCOMMON,Connacht,2ae19629-1497-13a3-e055-000000000001,576872.92,772072.39,2547136217.24,195001,29,2547136217.24771,430531.886648611
CAVAN COUNTY COUNCIL,,An Cabhán,CAVAN,Ulster,2ae19629-149d-13a3-e055-000000000001,638764.82,809776.33,1931224564.03,25001,30,1931224564.03436,376645.222599409
WATERFORD CITY AND COUNTY COUNCIL,,Port Láirge,WATERFORD,Munster,2ae19629-149a-13a3-e055-000000000001,630336.8,599955.37,1857031672.44,225002,31,1857031672.35129,456287.897249468
